timestep,day,hour,activity_healthy,activity_parkinson
0,1,0.0,0.0,0.0
1,1,0.5,0.0,0.0
2,1,1.0,0.0,0.0
3,1,1.5,0.0,0.0
4,1,2.0,0.0,0.0
5,1,2.5,0.0,0.0
6,1,3.0,0.0,0.0
7,1,3.5,0.0,0.0
8,1,4.0,0.0,0.0
9,1,4.5,0.0,0.0
10,1,5.0,0.0,0.0
11,1,5.5,0.0,0.0
12,1,6.0,0.7859,0.0
13,1,6.5,0.4826,1.6308
14,1,7.0,0.3849,0.0435
15,1,7.5,0.3673,0.0
16,1,8.0,0.672,0.5702
17,1,8.5,0.6013,0.3003
18,1,9.0,0.7771,0.7112
19,1,9.5,0.9484,0.3855
20,1,10.0,0.9874,0.1903
21,1,10.5,1.1923,1.6642
22,1,11.0,2.3746,0.354
23,1,11.5,0.7388,2.1994
24,1,12.0,0.826,0.7473
25,1,12.5,1.5902,0.7145
26,1,13.0,0.9162,0.179
27,1,13.5,0.9819,0.4621
28,1,14.0,0.7383,0.2696
29,1,14.5,0.9435,0.4775
30,1,15.0,0.6494,0.6254
31,1,15.5,0.8275,0.2268
32,1,16.0,0.4983,0.474
33,1,16.5,0.5504,0.052
34,1,17.0,0.36,0.4553
35,1,17.5,0.8644,0.0
36,1,18.0,0.1648,0.0
37,1,18.5,0.0,0.0
38,1,19.0,0.0,0.0
39,1,19.5,0.0,0.0411
40,1,20.0,0.0,0.0
41,1,20.5,0.0,0.0
42,1,21.0,0.7416,0.0
43,1,21.5,0.0,0.0
44,1,22.0,0.0,0.0
45,1,22.5,0.0,0.0
46,1,23.0,0.0,0.0
47,1,23.5,0.0,0.0
48,2,0.0,0.0,0.0
49,2,0.5,0.0,0.0
50,2,1.0,0.0,0.0
51,2,1.5,0.0,0.0
52,2,2.0,0.0,0.0
53,2,2.5,0.0,0.0
54,2,3.0,0.0,0.0
55,2,3.5,0.0,0.0
56,2,4.0,0.0,0.0
57,2,4.5,0.0,0.0
58,2,5.0,0.0,0.0
59,2,5.5,0.0,0.0
60,2,6.0,0.0677,0.0314
61,2,6.5,0.0263,0.0
62,2,7.0,1.2319,0.1375
63,2,7.5,0.2155,0.1224
64,2,8.0,0.3849,0.345
65,2,8.5,0.7099,0.0505
